Number;Protein;P1;P2;P3;P4;P5;P6;P7;P8
29;Healthy;1,044;0,989;0,950;1,054;1,065;1,009;1,072;0,832
1;Healthy;1,012;1,040;0,986;1,051;1,043;1,008;1,063;0,990
6;Healthy;1,055;1,046;1,021;1,062;1,050;1,018;1,075;1,053
7;Healthy;1,051;1,054;1,031;1,061;1,048;1,017;1,075;1,046
10;Healthy;1,032;1,040;0,735;1,052;1,051;1,013;1,067;1,003
18;Healthy;0,988;0,949;0,984;1,053;1,050;1,067;1,010;0,839
22;Healthy;0,961;0,958;0,808;1,035;1,037;0,993;1,047;0,831
2;Covid;1,018;0,531;0,057;1,045;0,162;1,016;1,054;0,168
21;Covid;1,042;0,820;0,096;1,047;0,552;1,066;1,006;0,445
5;Covid;1,045;0,711;0,076;1,051;0,288;1,012;1,060;0,280
17;Covid;1,013;0,724;0,111;1,040;1,011;1,057;1,005;0,317
37;Covid;0,979;0,713;0,121;1,006;1,016;0,958;1,037;0,358
38;Covid;0,918;0,522;0,115;0,977;0,953;0,929;1,011;0,332
46;Covid;0,952;0,507;0,059;1,028;0,992;0,977;1,042;0,153
11;Flue;0,674;0,641;0,672;0,779;0,680;0,711;0,685;0,684
27;Flue;0,627;0,687;0,680;0,783;0,683;0,692;0,703;0,698
20;Flue;0,621;0,638;0,668;0,803;0,636;0,691;0,718;0,675
49;Flue;0,698;0,596;0,706;0,835;0,757;0,718;0,721;0,826
40;Flue;0,633;0,647;0,650;0,757;0,696;0,687;0,686;0,651
41;Flue;0,609;0,663;0,664;0,750;0,706;0,691;0,662;0,669
42;Flue;0,626;0,642;0,642;0,744;0,679;0,672;0,639;0,643
13;Plpro;1,035;0,902;0,382;1,047;0,853;0,984;1,068;0,749
15;Plpro;1,007;0,837;0,191;1,043;1,007;1,055;1,003;0,474
16;Plpro;1,009;0,841;0,213;1,048;1,024;1,040;1,005;0,464
32;Plpro;1,000;0,941;0,422;1,036;1,031;0,991;1,065;0,768
35;Plpro;1,023;0,910;0,317;1,046;1,050;0,997;1,061;0,630
36;Plpro;1,000;0,914;0,351;1,032;1,045;0,994;1,067;0,728
44;Plpro;1,037;0,937;0,385;1,042;1,047;1,000;1,065;0,857
4;Mpro;1,071;0,694;0,048;1,056;0,276;1,022;1,070;0,174
8;Mpro;1,057;0,605;0,065;1,038;0,089;1,011;1,037;0,155
12;Mpro;1,075;0,797;0,069;1,031;0,147;1,009;1,085;0,298
23;Mpro;0,987;0,535;0,079;1,014;0,473;0,988;1,046;0,144
39;Mpro;1,003;0,520;0,063;1,017;1,030;0,983;1,036;0,151
47;Mpro;0,993;0,507;0,060;1,047;0,770;1,005;1,061;0,096
48;Mpro;0,988;0,491;0,056;1,049;1,050;0,997;1,074;0,140
31;Mpro;0,983;0,527;0,059;1,014;1,031;0,992;1,055;0,090
